"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVB.sexWorker","HIVB.sexWorker","","","",1,1,"","","","string {[]} {[]}
","Sex worker","Clients partner is a sex worker","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE38
",,,,"HIVB.sexWorker",1,1,"",""
"HIVB.menWhoHaveSexWithMen","HIVB.menWhoHaveSexWithMen","","","",1,1,"","","","string {[]} {[]}
","Men who have sex with men","Clients partner is a man who has sex with men","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE39
",,,,"HIVB.menWhoHaveSexWithMen",1,1,"",""
"HIVB.transgenderPeople","HIVB.transgenderPeople","","","",1,1,"","","","string {[]} {[]}
","Transgender people","Clients partner is transgender","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE40
",,,,"HIVB.transgenderPeople",1,1,"",""
"HIVB.peopleWhoInjectDrugs","HIVB.peopleWhoInjectDrugs","","","",1,1,"","","","string {[]} {[]}
","People who inject drugs","Clients partner is a person who injects drugs","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE41
",,,,"HIVB.peopleWhoInjectDrugs",1,1,"",""
"HIVB.peopleLivingInPrisonsAndOtherClosedSettings","HIVB.peopleLivingInPrisonsAndOtherClosedSettings","","","",1,1,"","","","string {[]} {[]}
","People living in prisons and other closed settings","Clients partner lives in a prison or other closed setting","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE42
",,,,"HIVB.peopleLivingInPrisonsAndOtherClosedSettings",1,1,"",""
"HIVB.hasUsedAnHivSelfTestBeforeReported","HIVB.hasUsedAnHivSelfTestBeforeReported","","","",1,1,"","","","string {[]} {[]}
","Has used an HIV self-test before (reported)","The client reported having used an HIV self-test before","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE43
",,,,"HIVB.hasUsedAnHivSelfTestBeforeReported",1,1,"",""
"HIVB.hivSelfTestResult","HIVB.hivSelfTestResult","","","",1,1,"","","","string {[]} {[]}
","HIV self-test result","Results from the reported HIV self-test","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE44
",,,,"HIVB.hivSelfTestResult",1,1,"",""
"HIVB.hstReactive","HIVB.hstReactive","","","",1,1,"","","","string {[]} {[]}
","Reactive","The HIV self-test was reactive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE45
",,,,"HIVB.hstReactive",1,1,"",""
"HIVB.hstNonReactive","HIVB.hstNonReactive","","","",1,1,"","","","string {[]} {[]}
","Non-reactive","The HIV self-test was non-reactive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE46
",,,,"HIVB.hstNonReactive",1,1,"",""
"HIVB.hstInvalid","HIVB.hstInvalid","","","",1,1,"","","","string {[]} {[]}
","Invalid","The HIV self-test was invalid","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE47
",,,,"HIVB.hstInvalid",1,1,"",""
"HIVB.dateOfHivSelfTest","HIVB.dateOfHivSelfTest","","","",1,1,"","","","string {[]} {[]}
","Date of HIV self-test","Date when the HIV self-test was conducted","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE48
",,,,"HIVB.dateOfHivSelfTest",1,1,"",""
"HIVB.keyPopulationMember","HIVB.keyPopulationMember","","","",1,1,"","","","string {[]} {[]}
","Key population member*","Client is a member of a key population that has an increased risk of HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE49
",,,,"HIVB.keyPopulationMember",1,1,"",""
"HIVB.keyPopulationMemberType","HIVB.keyPopulationMemberType","","","",1,1,"","","","string {[]} {[]}
","Key population member type*","The type of key population that the client is included in","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE50
",,,,"HIVB.keyPopulationMemberType",1,1,"",""
"HIVB.kpSexWorker","HIVB.kpSexWorker","","","",1,1,"","","","string {[]} {[]}
","Sex worker","Client is a sex worker","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE51
",,,,"HIVB.kpSexWorker",1,1,"",""
"HIVB.kpMenWhoHaveSexWithMen","HIVB.kpMenWhoHaveSexWithMen","","","",1,1,"","","","string {[]} {[]}
","Men who have sex with men","Client is a man who has sex with men","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE52
",,,,"HIVB.kpMenWhoHaveSexWithMen",1,1,"",""
"HIVB.kpTransgenderPeople","HIVB.kpTransgenderPeople","","","",1,1,"","","","string {[]} {[]}
","Transgender people","Client is transgender","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE53
",,,,"HIVB.kpTransgenderPeople",1,1,"",""
